climate,policy,metric,country,delta_median,delta_lo,delta_hi,cost_median,per_dollar_median,per_dollar_lo,per_dollar_hi,share_finite
baseline,insurance,switch_share,Ethiopia,0.10244308784604073,0.10108161717653275,0.10415740311145782,0.27160167694091797,0.3771813524859987,0.37216860482978986,0.3834932253901929,1.0
baseline,insurance,switch_share,Malawi,0.04942355863749981,0.04586540162563324,0.05304175242781639,0.19489488005638123,0.2535908517617397,0.23533405091177775,0.2721556995877568,1.0
baseline,insurance,switch_share,Mali,0.11195242404937744,0.10851984471082687,0.11500300467014313,1.2331937551498413,0.0907825097085206,0.08799902226040789,0.09325623341010958,1.0
baseline,insurance,switch_share,Nigeria,0.1331593096256256,0.13108927011489868,0.13565833866596222,1.1772692203521729,0.11310863082430017,0.11135029086693028,0.11523136451777857,1.0
baseline,insurance,switch_share,Tanzania,0.08788491412997246,0.08493208140134811,0.09071490168571472,0.22104644775390625,0.39758573378123596,0.3842273072666793,0.4103884165861319,1.0
baseline,insurance,switch_share,Uganda,0.05619295872747898,0.05563304200768471,0.0570182278752327,0.5106402635574341,0.11004412056347511,0.10894762120814902,0.11166026642319322,1.0
baseline,insurance,cv_log,Ethiopia,0.7796978056430817,0.7179147005081177,0.8148317933082581,0.27160167694091797,2.870740027914816,2.643263136642146,3.0000985357889007,1.0
baseline,insurance,cv_log,Mali,0.6110398173332214,0.571569561958313,0.6559002995491028,1.2331937551498413,0.49549376550238533,0.46348723351170673,0.531871246355287,1.0
baseline,insurance,cv_log,Nigeria,0.5272547006607056,0.5062379837036133,0.5469764471054077,1.1772692203521729,0.44786246981211364,0.4300103790636566,0.4646145823312896,1.0
baseline,insurance,cv_log,Tanzania,-5.154323577880859,-13.968301773071289,-0.0368269681930542,0.22104644775390625,-23.31783039381493,-63.19170434542505,-0.16660285006730405,1.0
baseline,insurance,cv_log,Uganda,0.9083621501922607,0.86580491065979,0.9407380819320679,0.5106402635574341,1.7788690297628538,1.6955280898299336,1.8422716520203635,1.0
baseline,insurance,cv_pct,Ethiopia,1.1808131378381355,1.0501535658350254,1.2587956958419833,0.27160167694091797,4.347591484477469,3.8665209201321216,4.634712532043061,1.0
baseline,insurance,cv_pct,Mali,0.8423461069318894,0.7710446353546123,0.9268765027527195,1.2331937551498413,0.683060632941284,0.6252420855479642,0.7516065491590961,1.0
baseline,insurance,cv_pct,Nigeria,0.6942747100858903,0.6583820315679252,0.7273546992138171,1.1772692203521729,0.5897331707000734,0.5592450904058922,0.6178320868664463,1.0
baseline,insurance,cv_pct,Tanzania,-0.9942256153241119,-0.999999994437432,-0.5257315148453139,0.22104644775390625,-4.497813131251924,-4.523936053253135,-2.3783757675699784,1.0
baseline,insurance,cv_pct,Uganda,1.48025691686845,1.3769185232601062,1.5618715918262147,0.5106402635574341,2.898825303269409,2.6964550614705645,3.0586534264753364,1.0
baseline,insurance,ce_rho2.5,Ethiopia,0.9742603302001953,0.9566612243652344,0.9936676025390625,0.27160167694091797,3.587092470022297,3.522294984111378,3.6585473761828684,1.0
baseline,insurance,ce_rho2.5,Malawi,1.810673713684082,1.8067512512207031,1.816476821899414,0.19489488005638123,9.290514523317757,9.270388481719106,9.320290103946931,1.0
baseline,insurance,ce_rho2.5,Mali,1.3625030517578125,1.2126007080078125,1.555999755859375,1.2331937551498413,1.1048572424795156,0.9833010449039076,1.261764219419284,1.0
baseline,insurance,ce_rho2.5,Nigeria,5.379402160644531,5.3384552001953125,5.405540466308594,1.1772692203521729,4.569389964204888,4.534608658670568,4.5915924521423905,1.0
baseline,insurance,ce_rho2.5,Tanzania,3.040822982788086,3.0219879150390625,3.060955047607422,0.22104644775390625,13.756488799917165,13.671280157387914,13.847564974286405,1.0
baseline,insurance,ce_rho2.5,Uganda,0.9203262329101562,0.9165124893188477,0.9249162673950195,0.5106402635574341,1.8022986015607108,1.7948300491110083,1.811287384491548,1.0
baseline,both,exp_income,Ethiopia,-3.830289840698242,-3.913074493408203,-3.7317733764648438,0.9719924926757812,-3.9406578441299516,-4.025827897740206,-3.839302674233326,1.0
baseline,both,exp_income,Malawi,-0.49939918518066406,-0.5857772827148438,-0.42718505859375,0.6423821449279785,-0.7774175996698272,-0.9118828836385527,-0.6650014511870413,1.0
baseline,both,exp_income,Mali,-5.392433166503906,-5.773956298828125,-5.0540008544921875,3.9380764961242676,-1.3693063534471643,-1.466186932760365,-1.2833678724794142,1.0
baseline,both,exp_income,Nigeria,-5.438385009765625,-5.588897705078125,-5.2284393310546875,4.022350311279297,-1.3520416147036092,-1.3894607064446836,-1.2998468374058145,1.0
baseline,both,exp_income,Tanzania,-1.7721443176269531,-1.8899383544921875,-1.6540298461914062,0.6917673349380493,-2.561763512273467,-2.7320433605923866,-2.391020452475588,1.0
baseline,both,exp_income,Uganda,0.4241943359375,0.4036827087402344,0.4435005187988281,2.1309547424316406,0.19906304319417417,0.18943748579080122,0.20812291784890183,1.0
baseline,both,p_below_theta,Ethiopia,-0.27631136775016785,-0.2768276631832123,-0.27572867274284363,0.9719924926757812,-0.28427315008320186,-0.28480432232674785,-0.28367366499281793,1.0
baseline,both,p_below_theta,Malawi,-0.23876077681779861,-0.23928536474704742,-0.23822733759880066,0.6423821449279785,-0.37168028206102705,-0.372496911124258,-0.37084987414385534,1.0
