climate,policy,country,crop,delta_share_median,delta_lo,delta_hi,base_share_median
baseline,contraction,Mali,other,-0.0005152705125510693,-0.0014877626672387123,9.737443178892136e-05,0.05913722142577171
baseline,contraction,Mali,rice,-0.0014604199677705765,-0.0016379691660404205,-0.0012635961174964905,0.11286686919629574
baseline,contraction,Mali,wheat_barley,0.0,0.0,0.0,0.0
baseline,contraction,Nigeria,maize,0.01724657230079174,0.016637366265058517,0.017966262996196747,0.16255632415413857
baseline,contraction,Nigeria,tree_crops,-0.009452601545490324,-0.009945086436346173,-0.008928911993280053,0.04676481056958437
baseline,contraction,Nigeria,tubers,-0.056888449005782604,-0.05869298242032528,-0.05493136867880821,0.3071940317749977
baseline,contraction,Nigeria,legumes,0.01906727347522974,0.018212154507637024,0.019667331129312515,0.13231385126709938
baseline,contraction,Nigeria,sorghum_millet,0.03143681213259697,0.030269935727119446,0.032645151019096375,0.2525235004723072
baseline,contraction,Nigeria,teff,0.0,0.0,0.0,0.0
baseline,contraction,Nigeria,other,-0.0008057490922510624,-0.0009690448641777039,-0.0006369017064571381,0.05310905305668712
baseline,contraction,Nigeria,rice,-0.000504298135638237,-0.0006017247214913368,-0.0004115374758839607,0.04558158293366432
baseline,contraction,Nigeria,wheat_barley,1.762520696502179e-05,8.055743819568306e-06,2.783254603855312e-05,0.00016407448129029945
baseline,contraction,Tanzania,maize,0.05136357620358467,0.049541257321834564,0.05351509153842926,0.29091310128569603
baseline,contraction,Tanzania,tree_crops,-0.010995124815963209,-0.011712666833773255,-0.010404115077108145,0.053043418331071734
baseline,contraction,Tanzania,tubers,0.0007274799281731248,0.00043397792614996433,0.0010693769436329603,0.10385755798779428
baseline,contraction,Tanzania,legumes,0.03208517958410084,0.030499306274577975,0.03364107105880976,0.09253345604520291
baseline,contraction,Tanzania,sorghum_millet,0.011029950343072414,0.010092373937368393,0.012136941775679588,0.025377202546223998
baseline,contraction,Tanzania,teff,0.0,0.0,0.0,0.0
baseline,contraction,Tanzania,other,-0.09548429027199745,-0.09891298040747643,-0.09252130053937435,0.37787464912980795
baseline,contraction,Tanzania,rice,0.010578188113868237,0.009926693513989449,0.011422859504818916,0.055247485637664795
baseline,contraction,Tanzania,wheat_barley,0.0007409495301544666,0.0005078053218312562,0.0010491693392395973,0.0013386090286076069
baseline,contraction,Uganda,maize,0.01847149431705475,0.01808968186378479,0.019017618149518967,0.12411375343799591
baseline,contraction,Uganda,tree_crops,-0.07408307434525341,-0.07559940521605313,-0.07226543594151735,0.35854902560822666
baseline,contraction,Uganda,tubers,0.018434711266309023,0.017857310362160206,0.018983881920576096,0.18371026747627184
baseline,contraction,Uganda,legumes,0.039731930126436055,0.03864694316871464,0.040612939512357116,0.2239737471099943
baseline,contraction,Uganda,sorghum_millet,0.007989802397787571,0.007670405320823193,0.008281238377094269,0.04888562299311161
baseline,contraction,Uganda,teff,0.0,0.0,0.0,0.0
baseline,contraction,Uganda,other,-0.011961034266278148,-0.012357523199170828,-0.01150476885959506,0.052016420755535364
baseline,contraction,Uganda,rice,0.0013497509062290192,0.0012344599235802889,0.0014888201840221882,0.008711627568118274
baseline,contraction,Uganda,wheat_barley,0.0,0.0,0.0,0.0
baseline,insurance,Ethiopia,maize,0.029208125546574593,0.0286397747695446,0.029980015009641647,0.1280706413090229
baseline,insurance,Ethiopia,tree_crops,-0.07623487524688244,-0.07712844759225845,-0.07510205917060375,0.333287063986063
baseline,insurance,Ethiopia,tubers,-0.013219429994933307,-0.013548382092267275,-0.012856557033956051,0.06516734918113798
baseline,insurance,Ethiopia,legumes,0.019597629085183144,0.019032206386327744,0.020070414058864117,0.08825611649081111
baseline,insurance,Ethiopia,sorghum_millet,0.027466876432299614,0.026724476367235184,0.028032027184963226,0.1144692674279213
baseline,insurance,Ethiopia,teff,-0.008578497916460037,-0.008958522230386734,-0.008138339966535568,0.07900177966803312
baseline,insurance,Ethiopia,other,0.006136900163255632,0.00576625345274806,0.006575278704985976,0.09550956659950316
baseline,insurance,Ethiopia,rice,-0.000378906523110345,-0.0004257950931787491,-0.0003349427133798599,0.0023708831577096134
baseline,insurance,Ethiopia,wheat_barley,0.016002463176846504,0.015536943450570107,0.016412403434515,0.09380923304706812
baseline,insurance,Malawi,maize,-0.022109560668468475,-0.024045005440711975,-0.02016673982143402,0.6459575667977333
baseline,insurance,Malawi,tree_crops,0.00031374022364616394,-0.00015397369861602783,0.0006960779428482056,0.07890075817704201
baseline,insurance,Malawi,tubers,-0.0006366637535393238,-0.0007635882357135415,-0.0005187152419239283,0.019391698064282537
baseline,insurance,Malawi,legumes,0.02509897667914629,0.02340107224881649,0.026920275762677193,0.17109413258731365
baseline,insurance,Malawi,sorghum_millet,0.008403055602684617,0.0072644976899027824,0.009638690389692783,0.015398052288219333
baseline,insurance,Malawi,teff,0.0,0.0,0.0,0.0
baseline,insurance,Malawi,other,-0.010907786898314953,-0.01168907806277275,-0.010160308331251144,0.06759434193372726
baseline,insurance,Malawi,rice,-0.00023887510178610682,-0.0003132706042379141,-0.00016132218297570944,0.0016708573675714433
baseline,insurance,Malawi,wheat_barley,0.0,0.0,0.0,0.0
